"year","forecast_horizon","intercept","A","D","E","AC","t_intercept","t_A","t_D","t_E","t_AC","adj_r_squared"
1971,3,0.270638887379685,0.00649138307636907,-0.905074475512304,1.50172520293844,-0.0595557239539451,0.316147388995895,1.0465184438867,-2.80427232971775,7.35495852351264,-1.22760578036812,0.93918847371096
1972,3,3.52820426672586,0.0146682493555226,0.246995721391323,0.696424783239062,-0.140436952314353,2.19317700194163,2.05954680136046,0.435255495784606,1.79223627252064,-1.55277523251401,0.904523403744199
1973,3,4.0441417877923,0.0161528008744939,-0.119452955460489,0.93098083113646,-0.194762187727987,2.88396225951752,2.40130768832681,-0.220583099898044,2.69800199120379,-2.71363810680023,0.886054442121513
1974,3,3.79280048533668,0.0216521553355575,0.0831327046920029,0.744780819444609,-0.127072667088114,2.80752614674817,3.02168724265524,0.156468364596359,2.17126955367003,-1.55859756708849,0.869260459181293
1975,3,3.37890751817415,0.0196436537452642,0.0385246341727854,0.842088439210877,-0.0927659942818493,3.16404179569085,3.0501029352589,0.0956944371299661,3.65968475751096,-1.14047768155845,0.884201270909049
1976,3,3.81126530048841,0.01715607419198,0.288946956000037,0.735426943912714,-0.139582783768566,4.51780963410021,2.47260110805689,0.948933983917851,4.26545324814858,-2.48252436701307,0.881861046520538
1977,3,3.63658597190607,0.0190601565728008,0.597331141905406,0.621044335966079,-0.0596407235119742,4.1341707172715,2.55260741663973,1.77209190773793,3.95833345017162,-0.838155543427396,0.879679883781753
1978,3,3.34581637901621,0.0162409191377589,0.39932186251446,0.814159109897729,-0.0971552773118356,3.48158352089013,2.11477884461716,1.20301626912619,5.02757921020336,-1.35077908439335,0.877602559879681
1979,3,2.6314453455723,0.0300056217887478,0.341640041875522,0.657287635287312,-0.0542880310041238,1.7464841652547,1.93890733641317,0.770895483682131,2.76790599196511,-0.551971046471916,0.812961741009616
1980,3,2.67495028144703,0.0356546494561493,0.482402566836159,0.50463260202389,-0.0210933847604739,1.80742276917364,2.71952220737389,1.05110173039925,1.99461642009281,-0.23956592210865,0.797924221370688
