"year","forecast_horizon","intercept","EPS","t_intercept","t_EPS","adj_r_squared"
2001,4,-0.601400169051288,2.39256638764043,-1.56635117298595,3.02774687250627,0.0108959575030574
2002,4,-0.677959989740845,2.74065246878717,-1.66864270807325,3.07122058983474,0.00985183890972174
2003,4,-0.651148152727379,3.02357734790869,-1.65163309502673,3.12278030377538,0.00879157368468719
2004,4,-0.77930277763213,3.56616122629552,-1.67061335835793,2.96559489522113,0.0075510735454003
2005,4,-1.2408516574912,4.58621492170254,-1.92843792806026,2.88705276443754,0.00779219729567149
2006,4,-1.3917952748337,4.76568557812898,-2.06154679581213,2.92815476491021,0.00811550341548439
2007,4,-1.60553763014823,4.90496091438118,-2.10629644650826,2.85270772809302,0.00889877021761043
2008,4,-1.91256408965381,5.12698381582414,-2.07121844187974,2.73898042711939,0.0104208239330396
2009,4,-1.72166117587201,4.88332067325057,-1.97769739165508,2.75871269604434,0.0101632120583107
2010,4,-0.905118532679852,4.06019881913005,-1.46636594676732,2.65962715270655,0.00818016320875037
2011,4,-0.405189883012989,3.34818569838591,-0.852122251955586,2.49212547267536,0.00668188584533314
2012,4,-0.455745727304866,3.08843665735344,-0.853461680341606,2.34587803488702,0.00639920503660418
2013,4,-0.589266990432474,2.71278133109124,-0.910063821327945,2.12449754246161,0.00569705317404745
2014,4,-0.321179360606333,1.91870217669063,-0.592966798497296,1.98219464262804,0.00483647642457918
2015,4,0.137377278250156,1.05813176654655,0.603122106607771,2.91505897881615,0.0119370203356602
2016,4,0.433176675690704,0.755427514109424,8.18953953353903,11.5377282237881,0.12294709387371
2017,4,0.490465128658722,0.847333504437393,9.42478655969024,12.8274145180513,0.141034582796114
2018,4,0.46680439515567,0.901800581272856,8.90175256662461,13.800228645117,0.137575833859294
2019,4,0.492910366792665,1.03352620783553,8.79084819308107,14.3422271216724,0.14279916844584
2020,4,0.324448775783511,1.16525530029911,4.58515275080508,15.1651518989341,0.141278088455302
2021,4,0.219827879189787,1.20381816811725,2.59588544703321,13.9614126552174,0.146862127173584
2022,4,0.241904439528569,1.18903545741062,2.54784456034225,12.7034574854189,0.149132285562158
2023,4,0.249523785392388,1.24314349162299,2.26834152022713,11.6053067632551,0.166747196975376
1968,5,0.179561618291845,0.77823967105606,0.686530812823301,5.1573375958024,0.131193741894473
1969,5,0.0599537852168328,0.855900424380074,0.205416542359075,4.98889530877655,0.1093526068028
1970,5,-0.0521804586805757,0.96334947702502,-0.163313311121213,5.02788385368836,0.0962525837176629
1971,5,0.112042488106029,0.942375801156504,0.489399169057825,6.39730002573368,0.0702189901096378
1972,5,0.187007776904748,0.941407540113396,0.954218816689039,7.10537906302315,0.0733637575147699
1973,5,0.282915217219836,0.940256212717159,1.69010438136201,7.90024979506069,0.0726583669018439
1974,5,0.316044839852384,0.964409737784341,2.13773370791628,8.96953703361661,0.0810569645423065
1975,5,0.396834132115952,0.950348516279741,2.94257726328833,9.5654009111987,0.0850545145918941
1976,5,0.458938359437199,0.957575772563372,3.42133264505422,9.65918831289036,0.0978171630592515
1977,5,0.563297610898302,0.939966583817518,5.16315164852453,11.0671416882506,0.097685686169396
1978,5,0.584655984745278,0.945746239578081,5.69621849834191,11.67085732415,0.099687508998819
1979,5,0.596605089482628,0.888604487505812,7.06969752779708,13.2564165346518,0.100605309844643
1980,5,0.610769747263771,0.818549341864313,8.92882338269513,15.1789201392286,0.103635489478402
1981,5,0.587323094594212,0.764778527043912,8.96023979254517,15.58676960497,0.117672737572485
1982,5,0.566714774611366,0.712059651950955,9.88798683448403,16.7503844845531,0.114094079562994
1983,5,0.529824530695094,0.658934549445391,10.2473839400839,17.3599087502046,0.110967105867533
1984,5,0.488358934359014,0.627072104766417,9.59535921312813,16.5366432305465,0.104737183794382
1985,5,0.397346693876062,0.629430065097074,6.99571431600338,14.631291855498,0.0994664040566623
1986,5,0.287364287454027,0.630936752433359,3.98579261161636,11.372955335967,0.0848207987547759
1987,5,0.190939653921586,0.629668743996543,2.45528612529665,10.0810024154705,0.0783050847617486
1988,5,0.130261126934878,0.61687458557225,1.65136310183683,8.99188820045304,0.0702152308018673
1989,5,0.110831572659663,0.620004719093216,1.44160632199403,8.44155393383364,0.0629411580350288
1990,5,0.0658297487353268,0.661725438809637,0.697637158729991,6.77980231053572,0.0507758824351948
1991,5,0.0857543441347381,0.670374192209808,0.979392023757919,6.54098828495329,0.0462022961310905
1992,5,0.112634902262808,0.710627771303681,1.31973265310671,6.27534411079253,0.041994492073084
1993,5,0.0571044048995826,0.911417828330326,0.392859004550607,4.1046200864207,0.0204713138058885
